28 -460978.1250841786 -460978.0812080144 -460978.08423913165
30 -460979.17269930313 -460979.08624188293 -460979.0876496226
32 -460979.7399899307 -460979.6849041183 -460979.6854595241
34 -460980.4834733974 -460980.4679524824 -460980.4684390277
36 -460981.3344029801 -460981.1143341725 -460981.11619905033
38 -460982.1699257389 -460981.99515706924 -460981.9951157461
40 -460982.5706768973 -460982.763159853 -460982.76256634545
42 -460983.02906010294 -460983.17573028436 -460983.1740817546
44 -460983.72506501444 -460983.7023689015 -460983.70456851466
46 -460984.27327745163 -460984.15114032634 -460984.14886322676
48 -460985.056555904 -460984.6685355068 -460984.66947934765
50 -460985.80424118653 -460985.42057536065 -460985.4198629589
52 -460986.436721108 -460986.13694201433 -460986.13795417285
54 -460986.6850770496 -460986.37448601326 -460986.37407500256
56 -460986.8664949484 -460986.62372281804 -460986.6245010643
58 -460987.0395358976 -460986.8325696578 -460986.83190860687
60 -460987.22714066476 -460987.07554642664 -460987.07618795754
62 -460987.44054880284 -460987.37430990714 -460987.37514893844
64 -460987.64241667185 -460987.54804382694 -460987.54832629435
66 -460987.80548097484 -460987.7330989644 -460987.7336029945
68 -460987.91101225937 -460987.90484791633 -460987.9053168128
70 -460988.0614597162 -460988.0393210968 -460988.04107833264
72 -460988.19137015415 -460988.16511383746 -460988.1651741652
74 -460988.317777725 -460988.2852905404 -460988.2854474778
76 -460988.4878612027 -460988.4573647366 -460988.4580749659
78 -460988.68183161813 -460988.635367645 -460988.6360760093
80 -460988.8494438868 -460988.81484524405 -460988.8152700594
82 -460988.9871457933 -460988.9645796619 -460988.9653719416
84 -460989.14737186034 -460989.1180267875 -460989.11915681744
86 -460989.27239591 -460989.2627297319 -460989.26329219225
88 -460989.4181384443 -460989.4254695834 -460989.4253092462
90 -460989.56433277484 -460989.5765061325 -460989.5784900097
92 -460989.7166653264 -460989.7332921936 -460989.73398595315
94 -460989.81948666665 -460989.8647974848 -460989.86524796434
96 -460989.92487058276 -460989.9775400611 -460989.97924903716
98 -460990.058671438 -460990.1032857027 -460990.10280257603
100 -460990.18077716493 -460990.21416732017 -460990.2159909865
102 -460990.3148750373 -460990.3222491777 -460990.3208096667
104 -460990.4395625887 -460990.4390237187 -460990.4395539317
106 -460990.55700873426 -460990.5610702754 -460990.5625184794
108 -460990.65218350856 -460990.6569893967 -460990.65536648117
110 -460990.7586737027 -460990.7534303775 -460990.7547158205
112 -460990.8539170647 -460990.85052677285 -460990.8515253237
114 -460990.94710148266 -460990.94342146884 -460990.944039844
116 -460991.02533478057 -460991.03361508 -460991.03293460776
118 -460991.12043680024 -460991.13383431226 -460991.13310144807
120 -460991.23478206835 -460991.2443591505 -460991.2447025393
122 -460991.3411642884 -460991.3488933129 -460991.3488104281
124 -460991.4554631369 -460991.461963993 -460991.46074276563
126 -460991.5734620517 -460991.5688137783 -460991.5710441457
128 -460991.68759140995 -460991.67115594714 -460991.66991224856
130 -460991.78505931207 -460991.7738822475 -460991.7747183927
132 -460991.8867915644 -460991.87672530184 -460991.87675583485
134 -460991.97753140813 -460991.96615018765 -460991.96630522754
136 -460992.05881986936 -460992.05394042627 -460992.05465257785
138 -460992.1343806658 -460992.14671623945 -460992.14662982937
140 -460992.20160302875 -460992.23350120743 -460992.2342946474
142 -460992.2795462853 -460992.3184988837 -460992.3193715551
144 -460992.3741139746 -460992.41272040136 -460992.412866862
146 -460992.4519372704 -460992.49734280264 -460992.4983753137
148 -460992.5424475373 -460992.58736146963 -460992.5870105468
150 -460992.62630002986 -460992.674520623 -460992.6749703293
152 -460992.705227101 -460992.75175188377 -460992.75261904957
154 -460992.7875474955 -460992.829307035 -460992.8294193982
156 -460992.8622105653 -460992.9036727679 -460992.9043671123
158 -460992.93707572983 -460992.9787535061 -460992.980486924
160 -460993.0203242275 -460993.05663872027 -460993.0562987902
162 -460993.0916056704 -460993.1245162849 -460993.1249417904
164 -460993.1640362917 -460993.19629634946 -460993.19677123486
166 -460993.2377975725 -460993.26051283354 -460993.2608923504
168 -460993.30264704366 -460993.3260882955 -460993.3258593437
170 -460993.3674610593 -460993.39337610424 -460993.3939006925
172 -460993.4269529501 -460993.45928089943 -460993.4605408861
174 -460993.48540958855 -460993.52180766 -460993.5222066715
176 -460993.53970613476 -460993.5815077239 -460993.58203791716
178 -460993.59503299795 -460993.63673664856 -460993.63684366
180 -460993.6602010797 -460993.6973634915 -460993.6977612901
182 -460993.71573834063 -460993.75418045867 -460993.75563363015
184 -460993.7742289469 -460993.8125457322 -460993.81254720595
186 -460993.833179843 -460993.8715986602 -460993.87162496144
188 -460993.8987150438 -460993.9270100806 -460993.9281446642
190 -460993.95910313795 -460993.98374196334 -460993.98460416705
192 -460994.0180337986 -460994.041570877 -460994.04146996594
194 -460994.07432047033 -460994.1001329438 -460994.100000181
196 -460994.12571621424 -460994.1558092509 -460994.15607923456
198 -460994.1766307435 -460994.2087384951 -460994.2092029884
