84 -1382938.721913904 -1382938.7511162448 -1382938.749525972
86 -1382942.7532757353 -1382942.7931110759 -1382942.7922898298
88 -1382945.8692545244 -1382945.9391906 -1382945.942513383
90 -1382947.4926783477 -1382947.625606122 -1382947.6264312929
92 -1382949.0276738582 -1382949.152590392 -1382949.1540988146
94 -1382950.5987316642 -1382950.6965675582 -1382950.6998571835
96 -1382952.1332556696 -1382952.2313502892 -1382952.2314378964
98 -1382954.2339844834 -1382954.3338151898 -1382954.3340674243
100 -1382956.4495673138 -1382956.5557036744 -1382956.5573469994
102 -1382958.8542310903 -1382958.968347053 -1382958.9684150575
104 -1382961.2033042207 -1382961.3205553705 -1382961.320569183
106 -1382963.2315891199 -1382963.353919171 -1382963.3541170247
108 -1382965.201637962 -1382965.325341414 -1382965.3251752062
110 -1382967.6747633514 -1382967.7991796415 -1382967.7991584374
112 -1382970.3024019874 -1382970.4244050868 -1382970.4244339524
114 -1382972.9927889372 -1382973.1115128596 -1382973.1115054362
116 -1382975.6387548905 -1382975.7553669717 -1382975.755125182
118 -1382977.5344019656 -1382977.6522664656 -1382977.652378726
120 -1382978.7684677069 -1382978.8851621407 -1382978.8852981636
122 -1382979.7339643105 -1382979.850103297 -1382979.8501341527
124 -1382981.2857953738 -1382981.405707706 -1382981.4060428475
126 -1382982.4563886977 -1382982.5762245795 -1382982.5764834525
128 -1382984.6815122943 -1382984.8038943822 -1382984.804038723
130 -1382986.488048488 -1382986.6110845862 -1382986.611158072
132 -1382987.6208386056 -1382987.7432997972 -1382987.7434174689
134 -1382989.0204359703 -1382989.142595908 -1382989.1429970702
136 -1382990.448301381 -1382990.5691219456 -1382990.5693239616
138 -1382991.9514074828 -1382992.0719256327 -1382992.0719764521
140 -1382993.7675354688 -1382993.893756604 -1382993.8934220744
142 -1382995.7234510435 -1382995.8491912535 -1382995.8491820775
144 -1382997.447279496 -1382997.5747082848 -1382997.5748998458
146 -1382999.4429852392 -1382999.5671004348 -1382999.5669831561
148 -1383001.592839431 -1383001.7157861732 -1383001.7157949987
150 -1383003.989768238 -1383004.1117973733 -1383004.1119227852
152 -1383006.3068069813 -1383006.42879038 -1383006.4285989844
154 -1383009.4480335298 -1383009.567537699 -1383009.5677441366
156 -1383010.457540384 -1383010.5771820333 -1383010.5772232667
158 -1383011.2959243313 -1383011.4141580963 -1383011.4142974932
160 -1383011.8577834943 -1383011.975276165 -1383011.975309425
162 -1383012.438915526 -1383012.5569556379 -1383012.5570194444
164 -1383013.015191305 -1383013.1333403368 -1383013.133343529
166 -1383013.5739939774 -1383013.6927423612 -1383013.6926983828
168 -1383014.5887721053 -1383014.7071897732 -1383014.707268876
170 -1383015.1129888583 -1383015.2314162438 -1383015.2314857165
172 -1383015.6965813849 -1383015.8149708884 -1383015.815036487
174 -1383016.302607417 -1383016.421525051 -1383016.4215997804
176 -1383017.0549157423 -1383017.1737477342 -1383017.173834314
178 -1383017.7077354623 -1383017.8263482247 -1383017.8264600737
180 -1383018.3385077014 -1383018.4575450115 -1383018.4576859362
182 -1383019.0946448299 -1383019.2138721084 -1383019.2140391772
184 -1383020.160827635 -1383020.2798987925 -1383020.2799853408
186 -1383020.7995290894 -1383020.9187796845 -1383020.9187985868
188 -1383021.6034830809 -1383021.7229306418 -1383021.7229958123
190 -1383022.1282024444 -1383022.2474290607 -1383022.247504254
192 -1383022.4760178293 -1383022.5949845638 -1383022.59506591
194 -1383022.910056873 -1383023.0290255079 -1383023.029105765
196 -1383023.494492726 -1383023.613628916 -1383023.6137189956
198 -1383024.0931111798 -1383024.2126838805 -1383024.2127740732
200 -1383024.5177720871 -1383024.6378507996 -1383024.6379595255
202 -1383024.973594165 -1383025.0929850533 -1383025.0930710577
204 -1383025.4170158885 -1383025.5363781238 -1383025.536462459
206 -1383025.945099882 -1383026.0644089617 -1383026.0644644436
208 -1383026.3034215863 -1383026.422586531 -1383026.4226690324
210 -1383026.728060766 -1383026.8473679076 -1383026.847466221
212 -1383027.075395812 -1383027.1945677393 -1383027.194684264
214 -1383027.4879436146 -1383027.6071324951 -1383027.6072046184
216 -1383027.8748415955 -1383027.9938484111 -1383027.9939246054
218 -1383028.240330308 -1383028.3594750038 -1383028.3595579825
220 -1383028.5578927158 -1383028.677438597 -1383028.6775113787
222 -1383028.962830432 -1383029.0819770119 -1383029.0820401476
224 -1383029.3845448238 -1383029.5037611672 -1383029.503900242
226 -1383029.8941010374 -1383030.0125742436 -1383030.0127044672
228 -1383030.419471816 -1383030.5377054925 -1383030.5377855455
230 -1383030.969370564 -1383031.0878244627 -1383031.0878970986
232 -1383031.576213327 -1383031.6956428478 -1383031.695720389
234 -1383032.1490437775 -1383032.2685784767 -1383032.2686850396
236 -1383032.7907976739 -1383032.910738185 -1383032.910766219
238 -1383033.2996876128 -1383033.4191380604 -1383033.4191975088
240 -1383033.7068596277 -1383033.826465405 -1383033.8265048647
242 -1383034.0989068958 -1383034.218739316 -1383034.2187547083
244 -1383034.554544589 -1383034.674250845 -1383034.6743487979
246 -1383035.0029029783 -1383035.122618085 -1383035.1226357855
248 -1383035.4296311103 -1383035.549500259 -1383035.5495157456
250 -1383035.9637378606 -1383036.0838306963 -1383036.0840242985
