28 -460979.52078169095 -460979.5237725452 -460979.5344647758
30 -460982.7839807301 -460982.8173331447 -460982.85544904077
32 -460984.3020893164 -460984.305973621 -460984.3338337839
34 -460986.77776946704 -460986.865658504 -460986.8378235375
36 -460988.69286411494 -460988.72021162364 -460988.6919435949
38 -460991.02988274914 -460991.0941446809 -460991.06744263024
40 -460992.800407087 -460992.9195760138 -460992.88590638735
42 -460994.11916513904 -460994.2146419608 -460994.18710080296
44 -460995.86149254383 -460995.9700311131 -460995.94123713503
46 -460997.2571898775 -460997.4046837973 -460997.36833692755
48 -460999.0973853237 -460999.2341894032 -460999.19622189406
50 -461001.2774244162 -461001.369634398 -461001.3133906438
52 -461003.30282817956 -461003.3544501564 -461003.3032396647
54 -461004.01626193925 -461004.0609804984 -461004.0151633209
56 -461004.72436450905 -461004.7533844428 -461004.7124115711
58 -461005.28665662336 -461005.3198922232 -461005.2806553188
60 -461005.94586110674 -461005.9898202656 -461005.94901652634
62 -461006.74932140973 -461006.79660033376 -461006.75470577105
64 -461007.29368084663 -461007.3395550763 -461007.29640985385
66 -461007.8159881524 -461007.8676701311 -461007.8230406464
68 -461008.2620098149 -461008.31722607196 -461008.2731357132
70 -461008.6868006034 -461008.7435717559 -461008.7028737959
72 -461009.0654936828 -461009.12196989387 -461009.0810782509
74 -461009.43044399464 -461009.48530505836 -461009.4439677852
76 -461009.9414915819 -461010.0006551347 -461009.95650192146
78 -461010.493987045 -461010.55961677496 -461010.5152159972
80 -461011.0299939761 -461011.1012624063 -461011.05686583096
82 -461011.48475052515 -461011.5582219021 -461011.5149082912
84 -461011.9703253019 -461012.0618168961 -461012.0175292543
86 -461012.4006840236 -461012.4911376738 -461012.4482598587
88 -461012.8913005343 -461012.9780307441 -461012.93849042506
90 -461013.3601165762 -461013.44976397086 -461013.41134346987
92 -461013.8419561775 -461013.92950714735 -461013.8928170963
94 -461014.22976707615 -461014.3162571211 -461014.28040188726
96 -461014.57101606915 -461014.65558916295 -461014.6193477824
98 -461014.95879631414 -461015.04341952235 -461015.0073122967
100 -461015.3134552195 -461015.39924599335 -461015.3633621655
102 -461015.66738528415 -461015.7522507072 -461015.7161042361
104 -461016.0328825966 -461016.11967352364 -461016.0836967397
106 -461016.39935466263 -461016.4857944112 -461016.4495138234
108 -461016.6899694002 -461016.7686729697 -461016.732057787
110 -461016.9938028197 -461017.064003975 -461017.02727129695
112 -461017.2824070558 -461017.3502781243 -461017.3127381215
114 -461017.5619372193 -461017.6277522159 -461017.5895944379
116 -461017.81822978915 -461017.8872709511 -461017.8479830366
118 -461018.1158071899 -461018.18426057766 -461018.1447653336
120 -461018.4555441102 -461018.521427398 -461018.48212594964
122 -461018.77197725966 -461018.83648935007 -461018.79690619715
124 -461019.11054579454 -461019.18097182934 -461019.14125403616
126 -461019.4470605776 -461019.51664342417 -461019.47654677444
128 -461019.7696384344 -461019.83457431325 -461019.79419837834
130 -461020.07936971844 -461020.1403879443 -461020.10096503404
132 -461020.3932675421 -461020.45422371634 -461020.4135461307
134 -461020.67082636507 -461020.73221630295 -461020.691525547
136 -461020.93436563935 -461020.9954471335 -461020.9547191378
138 -461021.1973876866 -461021.25679827185 -461021.21601357113
140 -461021.44173215627 -461021.503168705 -461021.4623719187
142 -461021.69201666315 -461021.7564328257 -461021.71524483204
144 -461021.97581317043 -461022.0451885134 -461022.00384461286
146 -461022.2298759579 -461022.2998112188 -461022.2581245099
148 -461022.5036482216 -461022.57523973804 -461022.5330337157
150 -461022.772125198 -461022.84259121737 -461022.80021795613
152 -461023.0132814577 -461023.08486547077 -461023.04271169065
154 -461023.2555928149 -461023.326419341 -461023.28457279253
156 -461023.48384029034 -461023.5548179438 -461023.51316417643
158 -461023.71660617844 -461023.7885778044 -461023.7474874266
160 -461023.96134162595 -461024.03440875455 -461023.9933728286
162 -461024.17470031435 -461024.24811981886 -461024.20735923806
164 -461024.3950394378 -461024.4691252532 -461024.4284584016
166 -461024.60232966335 -461024.6755576726 -461024.6350661463
168 -461024.80185887846 -461024.8755292673 -461024.83539532585
170 -461025.0055191426 -461025.0778521026 -461025.03797720635
172 -461025.1989433038 -461025.2733548862 -461025.2341663378
174 -461025.3843469881 -461025.4577549514 -461025.41857659153
176 -461025.5639839163 -461025.6354927723 -461025.59711277595
178 -461025.73416037625 -461025.80411560746 -461025.766235283
180 -461025.92421975377 -461025.9931448924 -461025.9550344857
182 -461026.0947717255 -461026.16479041486 -461026.1266527404
184 -461026.2696808118 -461026.3414585569 -461026.3032255416
186 -461026.4465179506 -461026.52086762013 -461026.4824300867
188 -461026.6282312004 -461026.70394067594 -461026.665791675
190 -461026.80660184193 -461026.88528693176 -461026.8472724488
192 -461026.98503191886 -461027.06405496644 -461027.0261528067
194 -461027.16144332476 -461027.24155303906 -461027.20409526495
196 -461027.327482758 -461027.4074133699 -461027.37044165033
198 -461027.48501697707 -461027.5651903106 -461027.52791888284
